"","ninjured","night","weekend","intersection","type1","type2","type3","acc1","acc2","rule"
"2601",0,1,0,0,1,0,0,0,1,1
"69",4,0,0,0,1,0,0,1,0,0
"2059",0,1,1,0,1,0,0,0,1,1
"2056",0,1,1,0,1,0,0,0,1,1
"2822",0,1,0,1,1,0,0,0,1,1
"647",0,1,0,0,1,0,0,0,1,1
"2757",0,0,0,1,1,0,0,0,1,0
"2036",0,1,0,0,1,0,0,0,1,1
"2050",0,0,0,0,1,0,0,0,1,1
"2160",0,0,0,0,1,0,0,1,0,1
"1648",2,0,1,0,1,0,0,0,0,1
"1637",0,1,0,1,1,0,0,0,1,1
"751",2,0,0,1,1,0,0,1,0,1
"1827",0,0,1,0,1,0,0,1,0,1
"2344",0,1,1,0,1,0,0,0,0,1
"3543",0,1,0,0,1,0,0,0,1,0
"2009",0,1,1,0,1,0,0,0,1,1
"3797",0,1,0,1,1,0,0,0,1,0
"3635",8,1,0,1,1,0,0,1,0,0
"3565",2,0,1,0,1,0,0,0,0,1
"59",0,1,0,0,1,0,0,0,1,1
"2742",0,1,0,0,1,0,0,1,0,1
"860",0,1,0,0,1,0,0,1,0,0
"1649",0,0,0,1,1,0,0,1,0,1
"3183",2,1,1,1,1,0,0,0,0,1
"3078",0,1,0,0,1,0,0,0,1,0
"3466",0,1,0,0,1,0,0,0,1,1
"1090",0,0,1,0,1,0,0,0,0,1
"3080",0,1,1,0,1,0,0,1,0,0
"3734",1,1,1,1,1,0,0,1,0,1
"1912",2,0,0,0,1,0,0,0,1,0
"585",2,0,0,0,1,0,0,1,0,0
"1838",0,0,0,0,1,0,0,0,1,1
"3820",2,1,0,0,1,0,0,0,1,1
"3943",0,0,1,0,1,0,0,0,1,1
"2971",0,1,1,0,1,0,0,0,1,1
"153",0,0,1,0,1,0,0,1,0,0
"3091",0,0,0,0,1,0,0,0,1,0
"3898",0,1,0,1,1,0,0,0,1,0
"2475",0,1,0,0,1,0,0,0,1,1
"1266",0,1,0,0,1,0,0,0,1,1
"3356",0,0,1,0,1,0,0,0,1,1
"1208",0,1,0,1,1,0,0,0,1,1
"2473",6,0,0,0,1,0,0,1,0,0
"68",4,1,0,0,1,0,0,1,0,0
"2796",0,1,0,0,1,0,0,1,0,1
"1969",0,1,0,0,1,0,0,0,0,1
"1613",0,0,0,0,1,0,0,1,0,0
"3038",0,0,0,0,1,0,0,0,1,1
"1935",0,1,1,0,1,0,0,0,1,0
"1790",0,1,1,0,1,0,0,0,0,1
"1184",0,1,0,0,1,0,0,0,1,1
