"YEAR","QUARTER","CODE","CODE0","NAME","SVCODE","SVNAME","SALES_MONTH_AMT","SALES_MONTH_CNT","SALES_PER_WKND","SALES_PER_1114","SALES_PER_1417","SALES_PER_1721","SALES_PER_2124","SALES_PER_WOMAN","SALES_PER_AGE10","SALES_PER_AGE20","SALES_PER_AGE30","N_STORE","REPOP_TOT_AVG","FLPOP_TOT_AVG","IN_MONTH_AVG","CN_TOT_AVG"
2018,1,1000804,"000258","당곡길","CS100001","한식음식점",1184189449,32422,30,22,13,38,20,40,1,25,21,27,1446,55249.6666666667,2678108,657546788
2018,1,1000794,"000179","난향길","CS100001","한식음식점",355161253,13065,23,26,12,39,20,36,2,14,20,3,2896,9596,2219608,702066766
2018,1,1000818,"000964","신림로38길","CS100001","한식음식점",280507632,12382,28,24,11,38,22,34,0,24,29,10,1416,31188,2477650,651303072
2018,1,1000667,"000590","문성로5길","CS100001","한식음식점",781570122,18263,27,26,12,32,18,33,0,9,22,16,3156,41134.3333333333,2405104,1640438527
2018,1,1000518,"000570","목동남로4길","CS100001","한식음식점",625030023,24474,24,39,11,34,15,32,1,13,11,20,1837,16898.6666666667,4598635,611622035
2018,1,1000982,"000767","상일로5길","CS100001","한식음식점",1485828308,34785,19,43,6,29,12,30,2,9,22,35,1443,14022,2849895,417633806
2018,1,1000585,"000497","등촌로39길","CS100001","한식음식점",152345948,7066,12,52,8,29,7,26,1,9,19,7,3309,44469.3333333333,2895670,1447540211
2018,1,1000782,"000113","관악로28길","CS100001","한식음식점",397072637,8837,23,38,18,35,6,48,0,7,21,4,797,44993.6666666667,4228581,334298329
2018,1,1000093,"000520","마장로27길","CS100001","한식음식점",541668799,16670,25,27,6,33,25,33,1,14,20,13,1482,26992.6666666667,2383947,541890923
2018,1,1000025,"001538","통일로12길","CS100001","한식음식점",27380525,506,29,37,13,32,6,40,1,13,17,1,1814,159804,2525437,1486377190
2018,1,1000826,"001313","인헌길","CS100001","한식음식점",210317475,5120,28,17,8,45,25,39,1,21,27,8,6649,93805.3333333333,2714736,3799175900
2018,1,1000810,"000662","복은길","CS100001","한식음식점",135643774,7725,23,19,13,30,15,27,0,27,42,8,3451,52081.6666666667,2411680,1416969662
2018,1,1000431,"001552","통일로69길","CS100005","분식전문점",136003869,8176,34,39,21,37,0,45,2,16,23,4,2277,35554.3333333333,2892361,1151677219
2018,1,1000313,"001697","화랑로32길","CS100005","분식전문점",44581687,4464,21,45,14,27,1,41,9,39,17,1,4529,105729.333333333,2383946,1588810573
2018,1,1000713,"000823","선유서로28길","CS100005","분식전문점",33138019,3375,7,57,13,11,2,50,1,33,27,4,581,29280,2767157,327140505
2018,1,1000073,"001519","청파로47길","CS100005","분식전문점",1412600274,172051,22,33,21,35,7,73,4,57,17,33,1011,209069.666666667,2856076,606746694
2018,1,1000373,"000726","삼양로144길","CS100005","분식전문점",194634939,16498,28,42,27,29,1,62,5,34,20,11,456,10019.3333333333,2489043,309912925
2018,1,1000341,"001131","오패산로52길","CS100005","분식전문점",7454119,814,36,26,26,35,0,49,2,21,34,4,2734,67037,2316888,913948611
